appetite: 2
allegiance: 1
Of: 21
remainder: 1
employment: 2
Let: 43
ring: 1
territory: 1
Or: 16
snuffs: 1
maintain: 4
Tut: 1
swimming: 1
On: 9
He: 44
farther: 2
shift: 1
cheese: 1
couch: 1
remorse: 1
beguiled: 2
shoulder: 1
summon: 1
Howl: 1
naked: 4
summoners: 1
midway: 1
voices: 1
forgiveness: 2
shortens: 1
countries: 1
toss: 1
OSWALD: 53
fearfully: 1
himself: 8
eye: 12
Lay: 1
No: 60
fully: 1
deserved: 1
angler: 1
rotten: 1
continent: 1
shines: 2
venomously: 1
another: 9
fantastically: 1
nobly: 1
bestirred: 1
enemy: 6
amorous: 1
fetches: 1
Royal: 2
schoolmasters: 1
Sleepest: 1
Re: 11
s: 265
gray: 3
ripe: 1
squints: 1
footed: 3
Persuade: 2
obeyed: 1
horror: 2
affliction: 2
black: 5
poison: 3
bliss: 1
showest: 1
silly: 1
absolute: 1
whoremaster: 1
Lie: 1
wilful: 1
Sa: 1
mortality: 1
such: 39
Frateretto: 1
So: 28
Detains: 1
Too: 2
countenance: 4
musty: 1
Yield: 1
sterility: 1
raiment: 1
OF: 15
stripp: 1
presently: 5
boast: 1
defiles: 1
didst: 5
white: 10
sounded: 2
benediction: 3
To: 142
Filths: 1
seeming: 2
huge: 1
town: 1
Truth: 1
Servants: 9
ignorance: 1
might: 9
cullionly: 1
pined: 1
servants: 3
trumpet: 13
VI: 2
Up: 1
aloud: 1
physic: 1
leads: 1
import: 1
nearly: 1
perfume: 1
next: 1
nor: 28
summit: 1
drops: 1
button: 1
impose: 1
not: 266
faintly: 1
wagtail: 1
dropp: 1
news: 7
thoughts: 3
pinch: 1
now: 53
rack: 1
sovereign: 1
green: 1
newt: 1
breaks: 2
greet: 1
Trust: 1
grew: 3
was: 46
war: 2
We: 19
wanted: 1
grey: 1
what: 65
way: 27
Five: 1
True: 2
summons: 1
conclusion: 1
window: 1
pitiful: 1
battles: 1
flame: 1
butterflies: 1
play: 4
quickly: 3
Within: 2
issues: 1
fought: 1
Break: 1
copulation: 1
when: 39
modest: 2
Revoke: 1
foes: 2
far: 11
catch: 1
counsel: 4
give: 20
stones: 3
blind: 5
instruments: 1
treason: 4
liver: 1
mystery: 1
concealing: 1
horrid: 3
trifle: 3
feelingly: 1
Losses: 1
censured: 1
farms: 1
villains: 2
lives: 9
double: 1
descent: 1
ladies: 2
study: 3
bastard: 7
differences: 2
fogs: 2
Rule: 1
liege: 2
spaniel: 1
portion: 1
youngest: 3
dower: 2
web: 1
gain: 1
Without: 2
physician: 1
clothier: 1
Sorrow: 1
memories: 1
wed: 1
relieved: 2
Sleeps: 1
samphire: 1
unprovided: 1
wet: 2
rags: 3
Alive: 1
porridge: 1
wrong: 9
great: 26
rage: 8
crust: 1
Crown: 1
wanton: 1
songs: 1
Speak: 12
heads: 3
behold: 3
sides: 3
pleased: 2
certain: 5
arrest: 1
stuff: 1
endured: 4
widow: 2
cohorts: 1
Intelligence: 1
remain: 3
lowest: 1
unbonneted: 1
despised: 2
fed: 1
dice: 1
used: 3
heretofore: 1
ruinous: 1
fee: 1
provoke: 1
fen: 1
bootless: 1
whip: 1
suns: 1
dowers: 2
presented: 1
Alack: 13
comfortable: 2
looks: 6
paramoured: 1
Grace: 1
Hence: 2
thankfully: 1
strain: 2
rain: 11
reprovable: 1
wax: 1
visible: 1
silks: 1
hunt: 1
sweeten: 1
untender: 1
sung: 1
hangs: 1
rail: 2
borne: 3
effects: 5
outside: 1
market: 1
gait: 2
Turlygod: 1
choleric: 1
Fall: 2
keep: 16
Fair: 1
perceive: 2
effect: 1
Merlin: 1
drinks: 1
why: 12
fares: 2
faith: 4
ALBANY: 68
who: 36
alone: 8
win: 1
threaten: 1
malady: 1
dies: 1
along: 1
Until: 2
lawyer: 1
grim: 1
gale: 1
breach: 1
sprigs: 1
coining: 1
VII: 2
Nuncle: 1
gall: 2
From: 11
ungracious: 1
rake: 1
damned: 1
deformity: 1
visit: 1
oyster: 1
unfold: 1
traitorous: 1
parent: 1
Reverbs: 1
Strives: 1
Stocks: 1
Unwhipp: 1
Storm: 7
perpendicularly: 1
Escaped: 1
bring: 15
hearted: 5
fond: 3
Obidicut: 1
hush: 1
Armed: 1
fit: 11
pitiless: 1
equity: 1
addition: 4
giant: 1
honest: 7
neglect: 3
rank: 3
saucy: 1
grow: 6
forfended: 1
sure: 8
proceeding: 1
Pillicock: 2
an: 41
ah: 1
perdy: 1
former: 1
am: 84
extend: 1
at: 57
cuckoo: 2
pension: 1
fold: 1
consideration: 1
looking: 2
peace: 6
frank: 1
ay: 3
Cried: 1
hurt: 5
parings: 1
bo: 1
be: 155
brother: 23
hawthorn: 2
wit: 7
commodities: 1
Stocking: 1
brothel: 1
suum: 1
sudden: 1
Spit: 1
fool: 47
whom: 10
fix: 3
scarcely: 4
by: 69
perdu: 1
aidant: 1
foot: 6
as: 94
Did: 4
tooth: 3
Poor: 11
fie: 4
waved: 1
apish: 1
Tooth: 1
charge: 3
wills: 1
gorged: 1
ch: 1
familiar: 1
breathe: 1
kibes: 1
quicken: 1
Fare: 4
fly: 5
apace: 2
Father: 1
Better: 3
food: 6
ditch: 1
do: 94
vent: 1
thankless: 1
radiance: 1
Giving: 4
fore: 1
strangeness: 1
thunder: 7
ford: 1
Though: 7
de: 6
rare: 1
needs: 6
which: 44
methought: 1
image: 3
fourteen: 1
bobtail: 1
er: 22
worsted: 1
never: 26
marble: 1
en: 3
affirm: 1
usurp: 1
burst: 2
knife: 2
carry: 6
piece: 6
garb: 1
manhood: 2
fa: 1
fops: 1
necessity: 2
rabble: 1
foh: 1
contraries: 1
mightily: 1
briefness: 1
woe: 2
frame: 2
tears: 9
halcyon: 1
prove: 8
lamentable: 1
for: 125
Suspend: 1
mistaken: 1
content: 4
overture: 1
suck: 1
fox: 3
Hobbididence: 1
divide: 1
plot: 3
trouble: 4
Pour: 1
em: 8
thence: 1
attended: 1
prophecy: 2
thwart: 1
recreant: 1
hovel: 7
go: 41
Makes: 1
oily: 1
Goose: 1
covert: 1
unfed: 1
rats: 2
kept: 1
justly: 3
unfee: 1
rash: 2
form: 2
Although: 2
Post: 1
origin: 1
gate: 4
ha: 6
fork: 1
publish: 2
Appear: 1
withdraw: 1
feather: 1
very: 21
whipp: 1
he: 146
ho: 12
False: 2
Farewell: 2
fourscore: 1
divine: 1
Beating: 1
else: 10
foul: 15
Sometime: 1
four: 1
Exit: 45
lunatic: 2
violently: 1
likely: 1
brutish: 2
metal: 1
fro: 1
is: 196
issue: 4
dejected: 1
upbraids: 1
pinched: 1
in: 273
Captains: 1
Ready: 1
it: 173
cheeks: 3
alteration: 1
gave: 11
rascal: 6
become: 2
evasion: 1
noses: 2
lawful: 3
Man: 12
May: 9
orbs: 1
semblance: 1
amplify: 1
contemn: 2
subscription: 1
draw: 14
vassal: 1
dally: 1
Naughty: 1
peril: 1
knee: 1
Use: 2
avouched: 1
suggestion: 1
places: 1
off: 18
wooden: 2
disposition: 5
Hecate: 1
Horses: 1
la: 1
lt: 5
Exasperates: 1
oft: 6
ld: 10
if: 47
banners: 1
fum: 1
claim: 1
than: 51
Read: 2
ll: 90
me: 229
jarring: 1
locked: 1
festinate: 1
fasten: 1
mi: 1
porter: 1
remediate: 1
lenders: 1
Alas: 1
fittest: 1
lance: 1
torches: 2
follows: 5
cowards: 1
Curan: 1
strings: 1
charms: 2
second: 1
dirt: 1
feeling: 3
wrench: 1
flowing: 1
my: 402
eldest: 2
villanous: 1
hateful: 1
possesses: 2
ne: 4
perchance: 4
Men: 2
noble: 18
dream: 1
prediction: 2
hourly: 3
essay: 1
seal: 1
Met: 1
malice: 1
no: 94
heat: 3
head: 23
careful: 1
furrow: 1
of: 447
Reads: 3
oil: 1
on: 101
rescue: 1
fight: 5
oh: 1
pretty: 3
determine: 2
digest: 1
Stretch: 1
that: 258
Duke: 8
brief: 3
while: 2
Modo: 2
Dry: 1
Commit: 1
intelligent: 2
confer: 1
wrought: 1
fur: 1
drew: 2
lands: 1
parricides: 1
cock: 3
surfeit: 1
luxury: 1
discerns: 1
criest: 1
Reverse: 1
wholesome: 2
faints: 1
promised: 1
convenience: 1
venge: 1
tongues: 2
bur: 1
boarish: 1
speaking: 3
Remember: 2
proclamation: 1
amities: 1
brand: 2
tripped: 2
throughly: 1
breaking: 1
or: 50
thee: 135
forks: 1
hear: 22
old: 45
hissing: 1
furnishings: 1
diseases: 1
mightst: 2
them: 53
allowance: 2
ancient: 5
then: 34
they: 51
twelve: 1
portable: 1
betwixt: 4
re: 2
suit: 1
rt: 1
seek: 16
CORNWALL: 63
seen: 13
seem: 11
Saddle: 1
sa: 3
unsubstantial: 1
toasted: 1
oppress: 1
lecherous: 1
bewray: 2
adore: 1
Call: 5
derides: 1
so: 113
pierce: 3
st: 29
necessary: 1
conjunct: 2
abominable: 1
started: 1
closet: 2
couriers: 1
one: 40
Quickly: 1
tamely: 1
ta: 2
th: 1
dismantle: 1
single: 1
acquaint: 1
monster: 3
country: 2
to: 440
Adultery: 1
Came: 1
joint: 1
Plate: 1
smokes: 1
poorest: 2
Interest: 1
up: 32
ruled: 2
lick: 1
Himself: 2
Shunn: 1
Restoration: 1
us: 51
enkindle: 1
Another: 1
hides: 1
praised: 2
waters: 1
belly: 2
but: 84
entreaty: 1
ope: 1
thin: 1
smiling: 1
sees: 2
upright: 1
this: 187
bluntly: 1
avouch: 1
know: 79
Bold: 1
valiant: 2
Please: 1
region: 1
towns: 1
praises: 1
